                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96903,                 4.7268,                 1.0116,                      0,                      0,                      0,                      0,                 0.6956,                 4.3967,                 0.8305,              9.261e-05,              9.261e-05,              9.261e-05
                      2,                0.87938,                 4.2252,                0.95083,                0.03681,                0.63709,                0.06339,                0.05479,                0.74129,                 3.7547,                0.85469,             0.00018173,             0.00018173,             0.00018173
                      3,                0.91902,                 3.8929,                0.98983,                0.37438,                0.10625,                 0.1028,                  0.087,                0.75471,                 3.3579,                0.87751,             0.00026455,             0.00026455,             0.00026455
                      4,                0.94683,                 3.6256,                0.99969,                0.18509,                0.22772,                0.14549,                0.12197,                0.74548,                 2.8671,                0.88207,             0.00025764,             0.00025764,             0.00025764
                      5,                0.91765,                 3.4572,                0.99548,                0.30603,                0.23961,                0.20806,                0.17508,                0.74131,                 2.6199,                0.88394,             0.00024818,             0.00024818,             0.00024818
                      6,                0.89013,                 3.2414,                0.98654,                0.37518,                0.28463,                0.26453,                0.22383,                 0.7224,                 2.4489,                 0.8925,             0.00023873,             0.00023873,             0.00023873
                      7,                 0.8944,                 3.1793,                0.98879,                0.34749,                0.30533,                0.28105,                0.23369,                0.71518,                 2.3869,                0.88128,             0.00022927,             0.00022927,             0.00022927
                      8,                0.86475,                 2.9361,                0.97515,                 0.4202,                0.38665,                 0.3685,                0.31118,                0.70583,                 2.2143,                0.87188,             0.00021982,             0.00021982,             0.00021982
                      9,                0.85614,                  2.948,                0.97382,                0.47578,                0.40678,                0.41897,                0.35191,                0.70424,                 2.1414,                0.86463,             0.00021036,             0.00021036,             0.00021036
                     10,                  0.868,                 2.8219,                0.98545,                0.52672,                  0.411,                0.44379,                0.37499,                0.69949,                 2.0646,                0.86387,             0.00020091,             0.00020091,             0.00020091
                     11,                0.85971,                 2.6845,                0.96009,                0.55552,                0.49598,                0.52685,                0.44754,                0.68471,                 1.8351,                0.86046,             0.00019145,             0.00019145,             0.00019145
                     12,                0.82296,                 2.5804,                 0.9492,                0.53931,                0.50221,                 0.5555,                0.47158,                0.67608,                 1.7425,                0.86336,               0.000182,               0.000182,               0.000182
                     13,                0.82623,                 2.4327,                0.94766,                0.64532,                0.52704,                0.60013,                0.51048,                0.67355,                 1.6833,                0.85698,             0.00017254,             0.00017254,             0.00017254
                     14,                0.84144,                 2.4134,                0.95419,                0.58942,                0.59705,                0.63597,                0.54059,                 0.6564,                 1.5446,                0.85351,             0.00016309,             0.00016309,             0.00016309
                     15,                0.83664,                 2.3494,                0.96094,                0.69755,                0.58959,                0.66199,                0.56522,                0.65803,                 1.5411,                0.84281,             0.00015363,             0.00015363,             0.00015363
