fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.75321,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.7594,0.00999,0.00939,0.94362,0.00051,3.20178,0.80787,7.757,0.5,1.5,0.015,0.70028,0.37539,0.0,0.10556,0.49172,0.0,0.0,0.0,0.48188,0.0,1.0,0.0,0.0
0.75396,0.01011,0.00877,0.95805,0.00051,3.20684,0.78519,7.65532,0.5,1.48362,0.015,0.70028,0.36263,0.0,0.10744,0.52239,0.0,0.0,0.0,0.44337,0.0,1.0,0.0,0.0
0.746,0.00933,0.00939,0.95261,0.00054,3.21709,0.86842,8.55538,0.5,1.5,0.01607,0.70028,0.35776,0.0,0.10556,0.47454,0.0,0.0,0.0,0.48188,0.0,1.0,0.0,0.0
0.76164,0.00964,0.00847,0.94362,0.00053,3.01164,0.84662,7.757,0.5311,1.40002,0.01512,0.70028,0.39339,0.0,0.0826,0.49172,0.0,0.0,0.0,0.4945,0.0,0.81642,0.0,0.0
0.76811,0.00947,0.00825,0.9118,0.00064,2.96646,0.8,7.98343,0.34305,1.59432,0.01515,0.66031,0.36855,0.0,0.09102,0.30255,0.0,0.0,0.0,0.52054,0.0,0.82899,0.0,0.0
0.74187,0.00999,0.00997,0.94362,0.00049,3.35476,0.76834,7.757,0.5061,1.5,0.015,0.64079,0.38153,0.0,0.09431,0.53412,0.0,0.0,0.0,0.46035,0.0,0.99075,0.0,0.0
0.75054,0.00917,0.00912,0.93528,0.00062,2.36478,0.8,10.89742,0.34305,1.56478,0.01515,0.75502,0.25615,0.0,0.09102,0.30944,0.0,0.0,0.0,0.40634,0.0,1.0,0.0,0.0
0.75283,0.00961,0.00848,0.91617,0.00067,2.96646,0.75979,7.98343,0.34709,1.5753,0.01415,0.64088,0.36855,0.0,0.09715,0.31687,0.0,0.0,0.0,0.52102,0.0,0.82906,0.0,0.0
0.7695,0.00901,0.00822,0.94065,0.00047,3.01164,0.87767,7.757,0.53757,1.31723,0.01512,0.73392,0.39339,0.0,0.07847,0.49982,0.0,0.0,0.0,0.47391,0.0,0.79065,0.0,0.0
