                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.029,                 4.6002,                 1.9759,                      0,                      0,                      0,                      0,                 1.2337,                 4.3901,                 1.3396,              9.261e-05,              9.261e-05,              9.261e-05
                      2,                 1.4855,                 4.2576,                 1.5832,                0.01941,                0.38815,                0.02059,                 0.0071,                 1.6396,                 4.2234,                    1.8,             0.00018748,             0.00018748,             0.00018748
                      3,                 1.3654,                  3.927,                   1.49,                0.01491,                0.76427,                0.02777,                0.01096,                 1.7008,                 3.5182,                 1.6976,             0.00028187,             0.00028187,             0.00028187
                      4,                  1.376,                  3.727,                 1.5138,                0.15223,                0.20446,                0.03266,                0.01249,                 1.8454,                 3.2986,                 1.7544,             0.00028388,             0.00028388,             0.00028388
                      5,                 1.4026,                 3.6023,                 1.5523,                0.19694,                0.14329,                0.04482,                0.02026,                 1.7081,                 3.0922,                 1.6765,             0.00028317,             0.00028317,             0.00028317
                      6,                 1.3534,                 3.5179,                 1.5109,                0.27547,                0.10435,                0.05058,                0.02085,                 1.7504,                 3.0681,                 1.7272,             0.00028246,             0.00028246,             0.00028246
                      7,                 1.3297,                 3.4252,                 1.4742,                0.26332,                0.21879,                0.08009,                0.03376,                 1.7822,                  3.006,                 1.7726,             0.00028175,             0.00028175,             0.00028175
                      8,                 1.3153,                 3.3744,                 1.4721,                0.19844,                0.12917,                0.08542,                0.05178,                 1.3982,                 2.7903,                 1.4172,             0.00028105,             0.00028105,             0.00028105
                      9,                 1.2842,                 3.2788,                 1.4314,                0.25049,                0.14763,                0.08915,                0.04531,                 1.6409,                 2.8324,                 1.5863,             0.00028034,             0.00028034,             0.00028034
                     10,                 1.2798,                 3.2456,                 1.4606,                0.24253,                0.17944,                0.11458,                0.06781,                 1.4311,                 2.7004,                 1.4563,             0.00027963,             0.00027963,             0.00027963
                     11,                 1.2431,                  3.214,                 1.4161,                0.20068,                0.21303,                0.14019,                0.07407,                 1.6623,                 2.6315,                 1.5944,             0.00027892,             0.00027892,             0.00027892
                     12,                 1.2293,                 3.1294,                 1.4175,                0.23024,                0.19751,                0.13578,                0.06386,                 1.7839,                 2.7187,                 1.6843,             0.00027821,             0.00027821,             0.00027821
                     13,                 1.2351,                 3.1022,                 1.4054,                0.18115,                0.25189,                0.15034,                0.08188,                 1.5975,                 2.5953,                 1.5606,             0.00027751,             0.00027751,             0.00027751
                     14,                 1.2254,                 3.1152,                 1.4037,                0.20581,                0.24296,                0.17045,                0.11234,                 1.1963,                 2.4585,                 1.2591,              0.0002768,              0.0002768,              0.0002768
                     15,                  1.192,                 3.0214,                  1.374,                0.28373,                0.26959,                0.19377,                 0.1221,                 1.3183,                 2.4661,                 1.3083,             0.00027609,             0.00027609,             0.00027609
                     16,                 1.1648,                 3.0115,                 1.3755,                 0.2804,                0.25426,                 0.2039,                0.10801,                  1.531,                 2.4635,                 1.5133,             0.00027538,             0.00027538,             0.00027538
                     17,                  1.217,                 2.9584,                 1.3933,                0.29101,                0.29272,                0.19754,                0.14065,                 1.0123,                 2.3952,                 1.1642,             0.00027467,             0.00027467,             0.00027467
                     18,                 1.2185,                 2.9487,                 1.4045,                0.28805,                0.31177,                0.25034,                0.15646,                 1.2419,                 2.3018,                  1.289,             0.00027397,             0.00027397,             0.00027397
                     19,                 1.2013,                 2.8847,                 1.3928,                0.34232,                0.30439,                0.26457,                0.16807,                 1.1902,                 2.2971,                 1.2476,             0.00027326,             0.00027326,             0.00027326
                     20,                 1.1907,                  2.839,                 1.3906,                0.30613,                0.37623,                0.29202,                0.16494,                 1.5573,                 2.2403,                 1.5193,             0.00027255,             0.00027255,             0.00027255
                     21,                 1.1939,                 2.8482,                 1.3904,                 0.3884,                0.31041,                 0.2894,                0.19161,                 1.2695,                  2.213,                 1.2938,             0.00027184,             0.00027184,             0.00027184
                     22,                 1.1514,                 2.7909,                 1.3505,                0.38345,                0.35166,                 0.2877,                0.18697,                 1.2817,                 2.1437,                 1.3286,             0.00027114,             0.00027114,             0.00027114
                     23,                 1.1359,                 2.7215,                 1.3421,                0.35727,                0.39602,                0.30872,                 0.2075,                 1.1814,                 2.1377,                 1.2554,             0.00027043,             0.00027043,             0.00027043
                     24,                 1.1587,                 2.7706,                 1.3823,                0.35968,                0.37971,                0.32586,                0.19988,                 1.3462,                 2.0866,                  1.361,             0.00026972,             0.00026972,             0.00026972
                     25,                 1.1365,                 2.6929,                 1.3502,                0.36244,                0.41366,                0.35575,                0.25105,                 1.1083,                 2.0146,                 1.2077,             0.00026901,             0.00026901,             0.00026901
                     26,                 1.1836,                 2.7379,                 1.3894,                0.40319,                 0.4232,                0.37067,                0.22181,                 1.4307,                 1.9956,                 1.4267,              0.0002683,              0.0002683,              0.0002683
                     27,                 1.1868,                 2.6474,                  1.395,                0.47858,                0.40703,                0.39128,                0.20453,                 1.6334,                 2.0117,                 1.6338,              0.0002676,              0.0002676,              0.0002676
                     28,                 1.1827,                 2.6447,                 1.4047,                0.42028,                0.44499,                0.41559,                0.27028,                  1.219,                 1.9641,                  1.271,             0.00026689,             0.00026689,             0.00026689
                     29,                 1.1365,                 2.5621,                 1.3176,                0.45077,                 0.4707,                0.44657,                0.28821,                 1.2422,                 1.8615,                  1.276,             0.00026618,             0.00026618,             0.00026618
                     30,                 1.1219,                 2.5786,                  1.343,                0.43453,                0.49804,                0.47252,                0.30623,                 1.2661,                 1.8133,                 1.3067,             0.00026547,             0.00026547,             0.00026547
                     31,                 1.1297,                 2.5297,                 1.3476,                0.41866,                0.50483,                0.44468,                0.31496,                 1.0001,                 1.8139,                 1.1636,             0.00026476,             0.00026476,             0.00026476
                     32,                 1.1364,                 2.4499,                 1.3425,                0.49109,                0.48017,                0.48282,                0.35835,                0.95948,                 1.7968,                 1.1265,             0.00026406,             0.00026406,             0.00026406
                     33,                 1.1353,                 2.4862,                 1.3575,                0.53439,                 0.4591,                0.48988,                0.35842,                 1.0016,                 1.7399,                 1.1434,             0.00026335,             0.00026335,             0.00026335
                     34,                 1.1143,                 2.4821,                 1.3339,                0.50757,                0.50063,                0.52648,                0.39345,                0.93619,                 1.6759,                 1.1123,             0.00026264,             0.00026264,             0.00026264
                     35,                 1.1309,                 2.4862,                 1.3428,                0.52487,                0.51228,                 0.5103,                 0.3696,                0.99411,                 1.6784,                 1.1512,             0.00026193,             0.00026193,             0.00026193
                     36,                 1.1203,                 2.3712,                 1.3457,                0.54087,                0.49816,                0.52684,                0.38087,                 1.0405,                 1.7181,                 1.1548,             0.00026123,             0.00026123,             0.00026123
                     37,                 1.0904,                 2.3585,                 1.2974,                0.51305,                0.55104,                0.53812,                0.36278,                 1.1583,                 1.6758,                 1.2414,             0.00026052,             0.00026052,             0.00026052
                     38,                 1.1341,                 2.4232,                 1.3315,                0.53245,                0.53822,                0.56314,                0.41248,                 0.9562,                 1.6369,                 1.1284,             0.00025981,             0.00025981,             0.00025981
                     39,                 1.1056,                 2.3184,                 1.3012,                0.60847,                0.52762,                0.58132,                0.37259,                 1.2095,                 1.5944,                 1.2699,              0.0002591,              0.0002591,              0.0002591
                     40,                 1.0969,                 2.3188,                 1.3066,                0.61576,                0.55669,                0.60626,                0.44578,                0.96412,                 1.5094,                 1.1233,             0.00025839,             0.00025839,             0.00025839
